"classification_name","classification_code","company_id"
Independent Software Vendor,ISV,36842
Value Added Reseller,VAR,36846
Independent Software Vendor,ISV,36846
Managed Service Provider,MSP,36847
Value Added Reseller,VAR,36847
Independent Software Vendor,ISV,36847
Regional Systems Integrator,RSI,36847
Value Added Reseller,VAR,36848
Independent Software Vendor,ISV,36848
Regional Systems Integrator,RSI,36850
Value Added Reseller,VAR,36852
Independent Software Vendor,ISV,36853
Regional Systems Integrator,RSI,36853
Value Added Reseller,VAR,36855
Independent Software Vendor,ISV,36855
Regional Systems Integrator,RSI,36855
Independent Software Vendor,ISV,36856
Independent Software Vendor,ISV,36860
Independent Software Vendor,ISV,36862
Cloud Service Provider,CSP,36863
Value Added Reseller,VAR,36863
Independent Software Vendor,ISV,36863
Value Added Reseller,VAR,36864
Independent Software Vendor,ISV,36865
Value Added Reseller,VAR,36866
Independent Software Vendor,ISV,36866
Regional Systems Integrator,RSI,36867
Regional Systems Integrator,RSI,36868
Value Added Reseller,VAR,36872
Independent Software Vendor,ISV,36872
Value Added Reseller,VAR,36873
Independent Software Vendor,ISV,36873
Regional Systems Integrator,RSI,36875
Managed Service Provider,MSP,36876
Cloud Service Provider,CSP,36876
Value Added Reseller,VAR,36876
Independent Software Vendor,ISV,36876
Regional Systems Integrator,RSI,36876
Independent Software Vendor,ISV,36877
Independent Software Vendor,ISV,36878
Independent Software Vendor,ISV,36879
Cloud Service Provider,CSP,36880
Value Added Reseller,VAR,36880
Independent Software Vendor,ISV,36880
Regional Systems Integrator,RSI,36880
Independent Software Vendor,ISV,36881
Independent Software Vendor,ISV,36882
Cloud Service Provider,CSP,36883
Value Added Reseller,VAR,36884
Independent Software Vendor,ISV,36884
Managed Service Provider,MSP,36887
Independent Software Vendor,ISV,36887
Regional Systems Integrator,RSI,36887
Regional Systems Integrator,RSI,36891
Independent Software Vendor,ISV,36892
Regional Systems Integrator,RSI,36897
Value Added Reseller,VAR,36901
Independent Software Vendor,ISV,36901
Regional Systems Integrator,RSI,36901
Independent Software Vendor,ISV,36903
Independent Software Vendor,ISV,36905
Regional Systems Integrator,RSI,36909
Independent Software Vendor,ISV,36910
Regional Systems Integrator,RSI,36911
Independent Software Vendor,ISV,36913
Regional Systems Integrator,RSI,36915
Regional Systems Integrator,RSI,36917
Independent Software Vendor,ISV,36918
Regional Systems Integrator,RSI,36922
Value Added Reseller,VAR,36923
Independent Software Vendor,ISV,36923
Regional Systems Integrator,RSI,36924
Cloud Service Provider,CSP,36926
Value Added Reseller,VAR,36926
Independent Software Vendor,ISV,36926
Independent Software Vendor,ISV,36927
Independent Software Vendor,ISV,36928
Value Added Reseller,VAR,36929
Independent Software Vendor,ISV,36931
Independent Software Vendor,ISV,36935
Independent Software Vendor,ISV,36936
Regional Systems Integrator,RSI,36938
Independent Software Vendor,ISV,36941
Independent Software Vendor,ISV,36942
Regional Systems Integrator,RSI,36946
Independent Software Vendor,ISV,36949
Regional Systems Integrator,RSI,36950
Independent Software Vendor,ISV,36952
Regional Systems Integrator,RSI,36955
Managed Service Provider,MSP,36957
Cloud Service Provider,CSP,36957
Independent Software Vendor,ISV,36957
Regional Systems Integrator,RSI,36957
Regional Systems Integrator,RSI,36958
Value Added Reseller,VAR,36960
Independent Software Vendor,ISV,36961
Independent Software Vendor,ISV,36962
Independent Software Vendor,ISV,36963
Independent Software Vendor,ISV,36964
Independent Software Vendor,ISV,36966
