"parent_industry","industry","company_id"
Utilities,Utilities,77773
Media,Media,77778
Professional Services,Software and IT Services,77778
Transportation,Transportation,77783
Banking,Banking and Financial Services,77784
Discrete Manufacturing,Automotive,77784
Retail,Retail,77784
Transportation,Transportation,77785
Education,Education,77786
Professional Services,Business Services,77788
Discrete Manufacturing,Automotive,77788
Construction,Construction,77788
Education,Education,77788
Transportation,Transportation,77788
Professional Services,Business Services,77790
Education,Education,77791
Media,Media,77793
Education,Education,77793
Telecommunications,Communications Services,77795
Insurance,Insurance Carriers,77795
Discrete Manufacturing,Automotive,77796
Banking,Banking and Financial Services,77798
Construction,Construction,77798
Education,Education,77798
Retail,Retail,77798
Professional Services,Business Services,77802
Utilities,Utilities,77803
Discrete Manufacturing,Automotive,77803
Education,Education,77803
Construction,Construction,77804
Utilities,Utilities,77805
Utilities,Utilities,77808
Professional Services,Business Services,77808
Banking,Banking and Financial Services,77808
Discrete Manufacturing,Automotive,77808
Education,Education,77808
Transportation,Transportation,77808
Retail,Retail,77808
Professional Services,Software and IT Services,77809
Banking,Banking and Financial Services,77810
Retail,Retail,77810
Banking,Banking and Financial Services,77811
Federal/Central Government,Federal/Central Government,77811
Education,Education,77811
Education,Education,77812
Utilities,Utilities,77814
Banking,Banking and Financial Services,77814
Education,Education,77815
Retail,Retail,77823
Construction,Construction,77824
Education,Education,77824
Education,Education,77827
Retail,Retail,77827
Utilities,Utilities,77828
Professional Services,Software and IT Services,77828
Education,Education,77828
Transportation,Transportation,77828
Retail,Retail,77828
Banking,Banking and Financial Services,77830
Telecommunications,Communications Services,77830
Discrete Manufacturing,Automotive,77834
Construction,Construction,77834
Education,Education,77834
Retail,Retail,77834
Education,Education,77841
Transportation,Transportation,77841
Retail,Retail,77841
Utilities,Utilities,77842
Construction,Construction,77850
Media,Media,77852
Education,Education,77852
Banking,Banking and Financial Services,77853
Retail,Retail,77853
Professional Services,Software and IT Services,77857
Retail,Retail,77860
Discrete Manufacturing,Automotive,77862
Retail,Retail,77862
Construction,Construction,77865
Education,Education,77867
Professional Services,Business Services,77875
Construction,Construction,77877
Education,Education,77878
Transportation,Transportation,77880
Retail,Retail,77881
Education,Education,77887
Retail,Retail,77887
Banking,Banking and Financial Services,77888
Education,Education,77888
Transportation,Transportation,77888
Retail,Retail,77891
Education,Education,77897
Retail,Retail,77898
Discrete Manufacturing,Automotive,77901
Construction,Construction,77901
Transportation,Transportation,77901
Discrete Manufacturing,Automotive,77905
Media,Media,77909
Construction,Construction,77914
Education,Education,77914
Transportation,Transportation,77914
Utilities,Utilities,77915
Banking,Banking and Financial Services,77915
Insurance,Insurance Carriers,77915
Utilities,Utilities,77919
Professional Services,Business Services,77919
Media,Media,77919
Discrete Manufacturing,Automotive,77919
Construction,Construction,77919
Education,Education,77919
Transportation,Transportation,77919
Construction,Construction,77931
Education,Education,77931
Professional Services,Business Services,77933
Discrete Manufacturing,Automotive,77933
Construction,Construction,77933
Education,Education,77933
Retail,Retail,77934
Professional Services,Business Services,77936
Professional Services,Software and IT Services,77936
Education,Education,77937
Education,Education,77938
Utilities,Utilities,77941
Discrete Manufacturing,Discrete Manufacturing,77941
Discrete Manufacturing,Automotive,77941
Construction,Construction,77941
Transportation,Transportation,77941
Retail,Retail,77941
Retail,Other Retail,77942
Education,Education,77942
Retail,Retail,77942
Education,Education,77943
Education,Education,77946
Professional Services,Business Services,77948
Education,Education,77952
Professional Services,Business Services,77953
Banking,Banking and Financial Services,77954
Federal/Central Government,Federal/Central Government,77961
Education,Education,77962
Retail,Retail,77962
Transportation,Transportation,77965
Education,Education,77967
Transportation,Transportation,77967
Telecommunications,Communications Services,77976
Education,Education,77977
Education,Education,77981
Retail,Retail,77982
Banking,Banking and Financial Services,77991
Education,Education,77991
Retail,Retail,77991
Media,Media,77996
Retail,Retail,77996
Professional Services,Business Services,78001
Media,Media,78003
Banking,Banking and Financial Services,78003
Discrete Manufacturing,Automotive,78003
Construction,Construction,78003
