"parent_industry","industry","company_id"
Retail,Retail,76940
Professional Services,Business Services,76947
Education,Education,76953
Construction,Construction,76965
Utilities,Utilities,76970
Education,Education,76970
Professional Services,Software and IT Services,76973
Professional Services,Business Services,76977
Discrete Manufacturing,Automotive,76977
Construction,Construction,76977
Education,Education,76977
Retail,Retail,76978
Professional Services,Software and IT Services,76993
Discrete Manufacturing,Automotive,76995
Construction,Construction,76997
Education,Education,77001
Construction,Construction,77002
Education,Education,77006
Utilities,Utilities,77007
Retail,Retail,77007
Professional Services,Software and IT Services,77011
Discrete Manufacturing,Automotive,77012
Banking,Banking and Financial Services,77014
Retail,Retail,77014
Utilities,Utilities,77019
Wholesale,Wholesale and Distribution,77020
Banking,Banking and Financial Services,77020
Retail,Other Retail,77020
Telecommunications,Communications Services,77020
Construction,Construction,77022
Transportation,Transportation,77022
Retail,Retail,77023
Education,Education,77030
Education,Education,77032
Construction,Construction,77034
Construction,Construction,77035
Education,Education,77035
Retail,Retail,77035
Banking,Banking and Financial Services,77040
Construction,Construction,77040
Education,Education,77041
Banking,Banking and Financial Services,77046
Federal/Central Government,Federal/Central Government,77046
Discrete Manufacturing,Automotive,77049
Construction,Construction,77049
Education,Education,77049
Discrete Manufacturing,Automotive,77055
Education,Education,77056
Professional Services,Software and IT Services,77057
Telecommunications,Communications Services,77057
Banking,Banking and Financial Services,77060
Discrete Manufacturing,Automotive,77060
Construction,Construction,77060
Retail,Retail,77060
Utilities,Utilities,77062
Banking,Banking and Financial Services,77062
Construction,Construction,77062
Retail,Retail,77062
Professional Services,Business Services,77067
Retail,Retail,77067
Media,Media,77069
Construction,Construction,77069
Education,Education,77069
Professional Services,Software and IT Services,77072
Telecommunications,Communications Services,77072
Resource Industries,Oil & Gas,77072
Education,Education,77072
Professional Services,Business Services,77074
Professional Services,Software and IT Services,77074
Construction,Construction,77074
Education,Education,77074
Professional Services,Business Services,77077
