"third_platform_category","third_platform_detail","company_id"
Innovation Accelerators,Internet of Things (IoT),14443
Pillars,Social,14444
Pillars,Social,14468
Innovation Accelerators,Internet of Things (IoT),14468
Pillars,Social,14474
Innovation Accelerators,Next Generation Security,14474
Pillars,Social,14485
Pillars,Social,14489
Pillars,Social,14493
Pillars,Social,14497
Pillars,Social,14507
Innovation Accelerators,Internet of Things (IoT),14507
Pillars,Social,14510
Innovation Accelerators,Internet of Things (IoT),14513
Pillars,Social,14515
Pillars,Social,14519
Pillars,Social,14534
Pillars,Social,14538
Pillars,Social,14543
Innovation Accelerators,Next Generation Security,14543
Pillars,Social,14551
Innovation Accelerators,Next Generation Security,14551
Pillars,Social,14552
Pillars,Big Data and Analytics,14552
Innovation Accelerators,Internet of Things (IoT),14552
Innovation Accelerators,Blockchain,14552
Pillars,Social,14553
Pillars,Social,14554
Pillars,Social,14557
Pillars,Social,14566
Innovation Accelerators,Next Generation Security,14574
Innovation Accelerators,AR/VR,14575
Pillars,Social,14577
Pillars,Social,14578
Innovation Accelerators,Artificial Intelligence Systems,14580
Pillars,Social,14582
Pillars,Social,14590
Pillars,Social,14593
Innovation Accelerators,Internet of Things (IoT),14593
Innovation Accelerators,AR/VR,14593
Pillars,Social,14598
Pillars,Social,14603
Innovation Accelerators,Artificial Intelligence Systems,14609
Pillars,Social,14614
Pillars,Social,14615
Pillars,Social,14617
Pillars,Social,14619
Pillars,Social,14622
Innovation Accelerators,Internet of Things (IoT),14622
Pillars,Social,14623
Pillars,Social,14625
Pillars,Social,14626
Pillars,Social,14642
Pillars,Social,14644
Innovation Accelerators,Internet of Things (IoT),14644
Pillars,Social,14648
Pillars,Social,14651
Pillars,Social,14652
Innovation Accelerators,Next Generation Security,14655
Pillars,Social,14658
Innovation Accelerators,Next Generation Security,14662
Pillars,Social,14663
Innovation Accelerators,Internet of Things (IoT),14663
Pillars,Social,14664
Innovation Accelerators,Next Generation Security,14664
Pillars,Social,14667
Pillars,Social,14668
Pillars,Social,14669
Pillars,Social,14672
Pillars,Social,14681
Pillars,Social,14684
Pillars,Social,14685
Pillars,Social,14686
Pillars,Social,14690
Innovation Accelerators,Internet of Things (IoT),14695
Pillars,Social,14697
Innovation Accelerators,Internet of Things (IoT),14697
Innovation Accelerators,Robotics,14697
Pillars,Social,14701
Pillars,Social,14702
Pillars,Social,14704
Innovation Accelerators,Internet of Things (IoT),14704
Innovation Accelerators,Blockchain,14704
Pillars,Social,14708
Innovation Accelerators,Artificial Intelligence Systems,14709
Pillars,Social,14712
Pillars,Social,14713
