"third_platform_category","third_platform_detail","company_id"
Pillars,Social,11653
Pillars,Social,11665
Pillars,Social,11671
Pillars,Social,11672
Pillars,Social,11676
Innovation Accelerators,Artificial Intelligence Systems,11676
Pillars,Social,11678
Innovation Accelerators,Blockchain,11678
Pillars,Social,11681
Pillars,Social,11682
Innovation Accelerators,AR/VR,11687
Innovation Accelerators,Artificial Intelligence Systems,11687
Innovation Accelerators,Internet of Things (IoT),11691
Pillars,Social,11697
Innovation Accelerators,Internet of Things (IoT),11697
Innovation Accelerators,"3D Printing",11702
Pillars,Social,11704
Pillars,Social,11716
Pillars,Social,11717
Pillars,Social,11718
Innovation Accelerators,Internet of Things (IoT),11718
Pillars,Social,11730
Innovation Accelerators,Internet of Things (IoT),11731
Innovation Accelerators,Robotics,11732
Pillars,Social,11734
Pillars,Social,11738
Pillars,Social,11740
Innovation Accelerators,Blockchain,11740
Pillars,Social,11744
Pillars,Social,11747
Pillars,Social,11748
Innovation Accelerators,AR/VR,11748
Pillars,Social,11749
Innovation Accelerators,AR/VR,11757
Pillars,Social,11763
Pillars,Social,11765
Innovation Accelerators,AR/VR,11765
Pillars,Social,11766
Innovation Accelerators,Internet of Things (IoT),11766
Innovation Accelerators,Next Generation Security,11768
Pillars,Social,11781
Innovation Accelerators,Internet of Things (IoT),11781
Pillars,Social,11785
Innovation Accelerators,Robotics,11787
Innovation Accelerators,AR/VR,11788
Innovation Accelerators,Artificial Intelligence Systems,11788
Pillars,Social,11790
Innovation Accelerators,Internet of Things (IoT),11793
Pillars,Social,11798
Pillars,Social,11799
Innovation Accelerators,Internet of Things (IoT),11799
Pillars,Social,11824
Pillars,Social,11829
Pillars,Social,11835
Innovation Accelerators,Internet of Things (IoT),11835
Pillars,Social,11836
Pillars,Social,11841
Pillars,Social,11847
Pillars,Social,11850
Innovation Accelerators,AR/VR,11850
Innovation Accelerators,Robotics,11852
Pillars,Social,11871
Pillars,Social,11877
Innovation Accelerators,Next Generation Security,11884
Pillars,Social,11885
Pillars,Social,11897
Innovation Accelerators,Internet of Things (IoT),11903
Pillars,Social,11911
Innovation Accelerators,AR/VR,11911
Pillars,Social,11932
Innovation Accelerators,Internet of Things (IoT),11932
Innovation Accelerators,"3D Printing",11934
Pillars,Social,11937
Innovation Accelerators,AR/VR,11939
Pillars,Social,11940
Pillars,Social,11952
Pillars,Social,11965
Pillars,Social,11979
Pillars,Social,11991
Innovation Accelerators,Internet of Things (IoT),11991
Pillars,Social,11993
Pillars,Social,12002
Pillars,Social,12003
Innovation Accelerators,Robotics,12003
Innovation Accelerators,Internet of Things (IoT),12004
Pillars,Social,12006
Pillars,Social,12007
Innovation Accelerators,AR/VR,12007
Pillars,Social,12010
Pillars,Social,12028
Pillars,Social,12029
Innovation Accelerators,Artificial Intelligence Systems,12031
Pillars,Social,12040
Pillars,Social,12041
Innovation Accelerators,Internet of Things (IoT),12041
Pillars,Social,12042
Pillars,Social,12046
Pillars,Social,12054
Pillars,Social,12057
Innovation Accelerators,Internet of Things (IoT),12057
Pillars,Social,12061
Pillars,Social,12062
Innovation Accelerators,Next Generation Security,12062
Pillars,Social,12067
Pillars,Social,12073
Pillars,Social,12076
Innovation Accelerators,Next Generation Security,12086
Pillars,Social,12087
Pillars,Social,12097
Innovation Accelerators,Blockchain,12097
Innovation Accelerators,Blockchain,12101
Pillars,Social,12102
Innovation Accelerators,Artificial Intelligence Systems,12112
Pillars,Social,12114
Pillars,Social,12121
Pillars,Social,12144
Innovation Accelerators,Internet of Things (IoT),12145
Pillars,Social,12146
Pillars,Social,12149
Pillars,Social,12161
Pillars,Social,12163
Innovation Accelerators,Artificial Intelligence Systems,12169
Pillars,Social,12189
Innovation Accelerators,Next Generation Security,12189
Pillars,Social,12191
Pillars,Social,12195
Pillars,Social,12199
Innovation Accelerators,Next Generation Security,12202
Pillars,Social,12204
Innovation Accelerators,"3D Printing",12206
Innovation Accelerators,Artificial Intelligence Systems,12206
Pillars,Social,12208
Innovation Accelerators,Robotics,12209
Pillars,Social,12210
Innovation Accelerators,Internet of Things (IoT),12210
Innovation Accelerators,Blockchain,12210
Pillars,Social,12211
Pillars,Social,12226
Pillars,Social,12236
Pillars,Social,12247
Innovation Accelerators,Blockchain,12247
Pillars,Social,12249
Innovation Accelerators,Blockchain,12249
Innovation Accelerators,Next Generation Security,12254
Pillars,Social,12259
Innovation Accelerators,Artificial Intelligence Systems,12270
Pillars,Social,12284
Innovation Accelerators,Blockchain,12284
Pillars,Big Data and Analytics,12285
Innovation Accelerators,Internet of Things (IoT),12288
Pillars,Social,12290
Innovation Accelerators,Artificial Intelligence Systems,12293
Pillars,Social,12301
Pillars,Social,12307
Innovation Accelerators,Internet of Things (IoT),12307
Pillars,Social,12312
Pillars,Social,12327
Pillars,Social,12341
Pillars,Social,12345
Innovation Accelerators,Robotics,12352
Innovation Accelerators,Internet of Things (IoT),12358
Pillars,Social,12364
Innovation Accelerators,Internet of Things (IoT),12364
Innovation Accelerators,Artificial Intelligence Systems,12364
Innovation Accelerators,Blockchain,12364
Pillars,Social,12368
Pillars,Social,12370
Innovation Accelerators,Robotics,12370
Pillars,Social,12373
Pillars,Social,12385
Pillars,Social,12390
Pillars,Social,12401
Pillars,Big Data and Analytics,12401
Innovation Accelerators,Internet of Things (IoT),12401
Innovation Accelerators,Blockchain,12401
Pillars,Social,12406
Innovation Accelerators,Blockchain,12421
Pillars,Social,12449
Innovation Accelerators,Internet of Things (IoT),12462
Pillars,Social,12464
Pillars,Social,12465
Innovation Accelerators,Artificial Intelligence Systems,12483
Innovation Accelerators,Next Generation Security,12486
Pillars,Social,12494
Pillars,Social,12496
Innovation Accelerators,Next Generation Security,12503
Pillars,Social,12506
Pillars,Social,12512
Innovation Accelerators,Internet of Things (IoT),12512
Pillars,Social,12514
Pillars,Social,12516
Innovation Accelerators,Next Generation Security,12531
Pillars,Social,12535
Pillars,Social,12544
Innovation Accelerators,Internet of Things (IoT),12544
Innovation Accelerators,Next Generation Security,12544
Pillars,Social,12549
Pillars,Social,12554
Innovation Accelerators,Internet of Things (IoT),12568
Innovation Accelerators,Blockchain,12568
Innovation Accelerators,Artificial Intelligence Systems,12574
Pillars,Social,12576
Pillars,Social,12592
Innovation Accelerators,AR/VR,12597
Pillars,Social,12600
Pillars,Social,12603
Pillars,Social,12605
Pillars,Social,12619
Pillars,Social,12620
Pillars,Social,12626
Pillars,Social,12627
Innovation Accelerators,AR/VR,12627
Innovation Accelerators,Blockchain,12640
Innovation Accelerators,Robotics,12645
Pillars,Social,12691
Pillars,Social,12698
Innovation Accelerators,Internet of Things (IoT),12715
Innovation Accelerators,Robotics,12718
Pillars,Social,12721
Innovation Accelerators,Blockchain,12721
Pillars,Social,12724
Pillars,Social,12726
Pillars,Social,12727
Pillars,Social,12729
Pillars,Social,12740
Innovation Accelerators,AR/VR,12753
Pillars,Social,12764
Innovation Accelerators,Internet of Things (IoT),12764
Pillars,Social,12767
Pillars,Social,12770
Innovation Accelerators,Artificial Intelligence Systems,12770
Innovation Accelerators,Internet of Things (IoT),12776
Innovation Accelerators,Internet of Things (IoT),12780
Innovation Accelerators,Internet of Things (IoT),12781
Pillars,Social,12790
Pillars,Social,12795
Pillars,Social,12805
Pillars,Social,12809
Innovation Accelerators,Blockchain,12820
Pillars,Social,12822
Pillars,Social,12823
Innovation Accelerators,Robotics,12825
Pillars,Social,12826
Pillars,Social,12828
Pillars,Social,12831
Pillars,Social,12834
Pillars,Social,12835
Pillars,Social,12843
Pillars,Social,12845
Innovation Accelerators,Artificial Intelligence Systems,12851
Pillars,Social,12859
Pillars,Social,12861
Innovation Accelerators,Internet of Things (IoT),12861
Pillars,Social,12863
Innovation Accelerators,Internet of Things (IoT),12863
Pillars,Social,12875
Innovation Accelerators,Internet of Things (IoT),12876
Innovation Accelerators,"3D Printing",12876
Innovation Accelerators,Internet of Things (IoT),12880
Innovation Accelerators,Artificial Intelligence Systems,12880
Innovation Accelerators,Blockchain,12880
Pillars,Social,12881
Pillars,Social,12885
Pillars,Social,12890
Pillars,Social,12895
Pillars,Social,12898
Innovation Accelerators,Blockchain,12898
Pillars,Social,12900
Pillars,Social,12908
Innovation Accelerators,Artificial Intelligence Systems,12909
Pillars,Social,12911
Pillars,Social,12912
Pillars,Social,12913
Innovation Accelerators,"3D Printing",12918
Pillars,Social,12925
Pillars,Social,12926
Innovation Accelerators,Internet of Things (IoT),12926
Pillars,Social,12929
Pillars,Social,12935
Pillars,Social,12940
Innovation Accelerators,Internet of Things (IoT),12940
Innovation Accelerators,AR/VR,12950
Pillars,Social,12955
Pillars,Social,12956
Innovation Accelerators,Internet of Things (IoT),12958
Innovation Accelerators,Robotics,12958
Pillars,Social,12980
Pillars,Social,12997
Pillars,Social,13008
Innovation Accelerators,Internet of Things (IoT),13008
Pillars,Social,13012
Pillars,Social,13018
Pillars,Social,13022
Innovation Accelerators,Internet of Things (IoT),13022
Pillars,Social,13023
Pillars,Social,13024
Pillars,Social,13031
Pillars,Social,13039
Pillars,Social,13041
Pillars,Social,13044
Pillars,Social,13047
Innovation Accelerators,Artificial Intelligence Systems,13048
Pillars,Social,13049
Pillars,Big Data and Analytics,13049
Innovation Accelerators,Internet of Things (IoT),13049
Pillars,Social,13056
Pillars,Social,13076
Pillars,Social,13077
Innovation Accelerators,Internet of Things (IoT),13084
Pillars,Social,13087
Pillars,Social,13091
Pillars,Social,13095
Innovation Accelerators,Robotics,13099
Pillars,Social,13103
Pillars,Social,13104
Pillars,Social,13110
Pillars,Social,13118
Innovation Accelerators,Robotics,13130
Pillars,Social,13131
Pillars,Social,13143
Innovation Accelerators,Artificial Intelligence Systems,13148
Pillars,Social,13151
Pillars,Social,13190
Innovation Accelerators,Internet of Things (IoT),13191
Innovation Accelerators,Internet of Things (IoT),13192
Innovation Accelerators,Internet of Things (IoT),13193
Pillars,Social,13197
Pillars,Social,13199
Innovation Accelerators,Internet of Things (IoT),13199
Innovation Accelerators,Blockchain,13199
Pillars,Social,13201
Pillars,Social,13209
Pillars,Social,13214
Innovation Accelerators,Internet of Things (IoT),13214
Innovation Accelerators,Internet of Things (IoT),13219
Pillars,Social,13223
Pillars,Social,13224
Pillars,Social,13225
Pillars,Social,13229
Pillars,Social,13230
Pillars,Social,13233
Pillars,Social,13236
Pillars,Social,13240
Innovation Accelerators,Artificial Intelligence Systems,13244
Pillars,Social,13245
Pillars,Social,13251
Pillars,Social,13254
Pillars,Social,13255
Pillars,Social,13256
Innovation Accelerators,Internet of Things (IoT),13256
Pillars,Social,13259
Pillars,Social,13261
Pillars,Social,13263
Pillars,Social,13264
Pillars,Social,13270
Pillars,Social,13272
Pillars,Social,13275
Innovation Accelerators,Internet of Things (IoT),13275
Innovation Accelerators,Blockchain,13275
Pillars,Social,13276
Pillars,Social,13284
Innovation Accelerators,Internet of Things (IoT),13287
Pillars,Social,13293
Pillars,Social,13309
Pillars,Social,13310
Pillars,Social,13317
Pillars,Social,13319
Innovation Accelerators,AR/VR,13321
Innovation Accelerators,Artificial Intelligence Systems,13324
Pillars,Social,13328
Pillars,Social,13336
Pillars,Social,13342
Pillars,Social,13343
Pillars,Social,13347
Innovation Accelerators,Internet of Things (IoT),13347
